,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,avian-sim,QR,0,18,0,17.2,0.110016,48,1000,0.5X,500,0.5306888888888894,0.5921555555555558,est
1,avian-sim,QR,1,14,0,16.76,0.109888,48,1000,0.5X,500,0.5286666666666676,0.5908222222222227,est
2,avian-sim,QR,2,12,0,18.51,0.110048,48,1000,0.5X,500,0.5272666666666667,0.5914000000000013,est
3,avian-sim,QR,3,20,0,16.53,0.111868,48,1000,0.5X,500,0.5272666666666668,0.5927111111111111,est
4,avian-sim,QR,4,16,0,17.15,0.110052,48,1000,0.5X,500,0.7248444444444435,0.5933777777777797,est
5,avian-sim,QR,5,20,0,16.19,0.11002,48,1000,0.5X,500,0.7260888888888888,0.5902222222222236,est
6,avian-sim,QR,6,18,0,18.28,0.109904,48,1000,0.5X,500,0.7235333333333338,0.5925111111111125,est
7,avian-sim,QR,7,14,0,16.45,0.10998,48,1000,0.5X,500,0.7245999999999991,0.5888666666666676,est
8,avian-sim,QR,8,8,0,17.74,0.1101,48,1000,0.5X,500,0.7242222222222222,0.5902444444444453,est
9,avian-sim,QR,9,18,0,15.82,0.11202,48,1000,0.5X,500,0.7255111111111114,0.5887333333333346,est
10,avian-sim,QR,10,12,0,17.39,0.109964,48,1000,0.5X,500,0.5300444444444454,0.5876444444444461,est
11,avian-sim,QR,11,22,0,14.98,0.110904,48,1000,0.5X,500,0.531444444444444,0.5922222222222234,est
12,avian-sim,QR,12,22,0,16.28,0.1114,48,1000,0.5X,500,0.5284444444444444,0.5910888888888901,est
13,avian-sim,QR,13,18,0,16.97,0.109996,48,1000,0.5X,500,0.5291333333333333,0.5898444444444457,est
14,avian-sim,QR,14,14,0,16.06,0.110288,48,1000,0.5X,500,0.5301555555555562,0.5922888888888904,est
15,avian-sim,QR,15,16,0,16.17,0.11188,48,1000,0.5X,500,0.5308888888888882,0.5901333333333345,est
16,avian-sim,QR,16,18,0,41.17,0.10994,48,1000,0.5X,500,0.5326888888888897,0.5878666666666672,est
17,avian-sim,QR,17,6,0,38.68,0.1105,48,1000,0.5X,500,0.526244444444445,0.5867111111111118,est
18,avian-sim,QR,18,22,0,43.41,0.112016,48,1000,0.5X,500,0.525888888888889,0.5923555555555567,est
19,avian-sim,QR,19,18,0,42.21,0.109904,48,1000,0.5X,500,0.5268222222222229,0.5912444444444452,est
20,avian-sim,QR*,0,18,0,14.06,0.110824,48,1000,0.5X,500,0.5306888888888894,0.5921555555555558,est
21,avian-sim,QR*,1,14,0,14.06,0.113812,48,1000,0.5X,500,0.5286666666666676,0.5908222222222227,est
22,avian-sim,QR*,2,12,0,15.16,0.112092,48,1000,0.5X,500,0.5272666666666667,0.5914000000000013,est
23,avian-sim,QR*,3,16,0,15.42,0.112028,48,1000,0.5X,500,0.5272666666666668,0.5927111111111111,est
24,avian-sim,QR*,4,12,0,16.25,0.11,48,1000,0.5X,500,0.7248444444444435,0.5933777777777797,est
25,avian-sim,QR*,5,12,0,13.69,0.112068,48,1000,0.5X,500,0.7260888888888888,0.5902222222222236,est
26,avian-sim,QR*,6,18,0,17.69,0.110016,48,1000,0.5X,500,0.7235333333333338,0.5925111111111125,est
27,avian-sim,QR*,7,14,0,15.63,0.110032,48,1000,0.5X,500,0.7245999999999991,0.5888666666666676,est
28,avian-sim,QR*,8,10,0,16.62,0.114148,48,1000,0.5X,500,0.7242222222222222,0.5902444444444453,est
29,avian-sim,QR*,9,14,0,13.24,0.11418,48,1000,0.5X,500,0.7255111111111114,0.5887333333333346,est
30,avian-sim,QR*,10,18,0,16.49,0.11408,48,1000,0.5X,500,0.5300444444444454,0.5876444444444461,est
31,avian-sim,QR*,11,26,0,13.14,0.10988,48,1000,0.5X,500,0.531444444444444,0.5922222222222234,est
