,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,34,0,432.94,0.47816,201,1000,10000000,1e-07,0.3806247794399709,0.08695959595959733,est
1,ASTRAL-II,QR,1,24,0,408.19,0.479364,201,1000,10000000,1e-07,0.27714646464646525,0.06779797979798077,est
2,ASTRAL-II,QR,2,24,0,374.88,0.480328,201,1000,10000000,1e-07,0.19430808080808112,0.1090000000000017,est
3,ASTRAL-II,QR,3,110,0,403.36,0.479424,201,1000,10000000,1e-07,0.460984904052782,0.09777272727272877,est
4,ASTRAL-II,QR,4,62,0,414.3,0.479608,201,1000,10000000,1e-07,0.3463484848484861,0.09628787878788038,est
5,ASTRAL-II,QR,5,46,0,436.76,0.479556,201,1000,10000000,1e-07,0.3329797979797989,0.1046010101010118,est
6,ASTRAL-II,QR,6,50,0,427.08,0.480432,201,1000,10000000,1e-07,0.40578787878788,0.09244949494949645,est
7,ASTRAL-II,QR,7,10,0,431.94,0.480848,201,1000,10000000,1e-07,0.1709354302518866,0.09362626262626417,est
8,ASTRAL-II,QR,8,20,0,419.67,0.479608,201,1000,10000000,1e-07,0.39880750054869324,0.09461111111111264,est
9,ASTRAL-II,QR,9,60,0,427.44,0.478056,201,1000,10000000,1e-07,0.3568484848484853,0.10292424242424404,est
10,ASTRAL-II,QR,10,26,0,432.01,0.479524,201,1000,10000000,1e-07,0.30388118296211064,0.0849747474747488,est
11,ASTRAL-II,QR,11,46,0,420.46,0.48404,201,1000,10000000,1e-07,0.399095959595961,0.096924242424244,est
12,ASTRAL-II,QR,12,42,0,426.04,0.4817,201,1000,10000000,1e-07,0.37093958729451526,0.1074393939393956,est
13,ASTRAL-II,QR,13,62,0,431.29,0.4789,201,1000,10000000,1e-07,0.22748364659250705,0.07897979797979918,est
14,ASTRAL-II,QR,14,24,0,422.9,0.480572,201,1000,10000000,1e-07,0.2111666666666671,0.09621212121212278,est
15,ASTRAL-II,QR,15,24,0,399.54,0.480516,201,1000,10000000,1e-07,0.43182408899118,0.09226767676767822,est
16,ASTRAL-II,QR,16,22,0,401.64,0.481032,201,1000,10000000,1e-07,0.20773232323232335,0.06140909090909178,est
17,ASTRAL-II,QR,17,22,0,426.73,0.479188,201,1000,10000000,1e-07,0.27814045894303446,0.08490404040404173,est
18,ASTRAL-II,QR,18,24,0,268.56,0.480044,201,1000,10000000,1e-07,0.29132828282828327,0.0892676767676782,est
19,ASTRAL-II,QR,19,38,0,293.75,0.481752,201,1000,10000000,1e-07,0.26553535353535335,0.100454545454547,est
20,ASTRAL-II,QR,20,28,0,303.04,0.480824,201,1000,10000000,1e-07,0.31690793674571416,0.08633838383838514,est
21,ASTRAL-II,QR,21,28,0,302.48,0.48276,201,1000,10000000,1e-07,0.18006600179005297,0.07202525252525355,est
22,ASTRAL-II,QR,22,26,0,271.12,0.479856,201,1000,10000000,1e-07,0.14130808080808202,0.08558585858585994,est
23,ASTRAL-II,QR,23,106,0,278.58,0.475952,201,1000,10000000,1e-07,0.6535095384295405,0.09941919191919348,est
24,ASTRAL-II,QR,24,36,0,294.75,0.480564,201,1000,10000000,1e-07,0.2535383326940291,0.08645959595959732,est
25,ASTRAL-II,QR,25,36,0,298.26,0.479656,201,1000,10000000,1e-07,0.327653991881799,0.08389898989899118,est
26,ASTRAL-II,QR,26,20,0,268.28,0.481564,201,1000,10000000,1e-07,0.11044398745535566,0.09229797979798132,est
27,ASTRAL-II,QR,27,18,0,270.2,0.479804,201,1000,10000000,1e-07,0.2078434343434348,0.0870303030303044,est
28,ASTRAL-II,QR,28,40,0,271.73,0.47964,201,1000,10000000,1e-07,0.3599595959595964,0.09057575757575904,est
29,ASTRAL-II,QR,29,24,0,282.19,0.4784,201,1000,10000000,1e-07,0.21180303030303063,0.0844040404040417,est
30,ASTRAL-II,QR,30,14,0,269.81,0.479072,201,1000,10000000,1e-07,0.2055280112091157,0.09722222222222382,est
31,ASTRAL-II,QR,31,22,0,277.38,0.477104,201,1000,10000000,1e-07,0.4610478150837798,0.07469696969697079,est
32,ASTRAL-II,QR,32,44,0,303.4,0.479228,201,1000,10000000,1e-07,0.22908585858585923,0.10569696969697141,est
33,ASTRAL-II,QR,33,20,0,299.06,0.482212,201,1000,10000000,1e-07,0.35521536961396405,0.09366161616161764,est
34,ASTRAL-II,QR,34,48,0,310.13,0.478284,201,1000,10000000,1e-07,0.6083145360022247,0.09144949494949643,est
35,ASTRAL-II,QR,35,16,0,294.88,0.479948,201,1000,10000000,1e-07,0.2267676767676771,0.098803030303032,est
36,ASTRAL-II,QR,36,44,0,263.79,0.480036,201,1000,10000000,1e-07,0.26176767676767715,0.08928787878788023,est
37,ASTRAL-II,QR,37,28,0,305.96,0.478972,201,1000,10000000,1e-07,0.26071717171717196,0.08079292929293051,est
38,ASTRAL-II,QR,38,18,0,290.4,0.4805,201,1000,10000000,1e-07,0.2208939393939393,0.09467171717171874,est
39,ASTRAL-II,QR,39,20,0,409.6,0.47906,201,1000,10000000,1e-07,0.12525252525252706,0.06818686868686968,est
40,ASTRAL-II,QR,40,32,0,301.35,0.47806,201,1000,10000000,1e-07,0.2149393939393943,0.09101010101010246,est
41,ASTRAL-II,QR,41,38,0,290.71,0.478756,201,1000,10000000,1e-07,0.22962626262626293,0.07882828282828405,est
42,ASTRAL-II,QR,42,12,0,303.83,0.478976,201,1000,10000000,1e-07,0.17804513012765608,0.0873383838383852,est
43,ASTRAL-II,QR,43,14,0,295.86,0.479632,201,1000,10000000,1e-07,0.17603353791075363,0.0917929292929308,est
44,ASTRAL-II,QR,44,34,0,280.46,0.479268,201,1000,10000000,1e-07,0.1572474747474758,0.08501515151515283,est
45,ASTRAL-II,QR,45,30,0,269.71,0.479536,201,1000,10000000,1e-07,0.5528750832858569,0.07796969696969812,est
46,ASTRAL-II,QR,46,42,0,266.36,0.479276,201,1000,10000000,1e-07,0.19809090909090973,0.08869696969697113,est
47,ASTRAL-II,QR,47,30,0,262.37,0.478128,201,1000,10000000,1e-07,0.1472624115988438,0.09960606060606221,est
48,ASTRAL-II,QR,48,30,0,277.85,0.48074,201,1000,10000000,1e-07,0.2234141414141412,0.09040909090909233,est
49,ASTRAL-II,QR,49,12,0,300.59,0.481028,201,1000,10000000,1e-07,0.2720656565656569,0.07918686868686987,est
50,ASTRAL-II,QR*,0,32,0,388.48,0.47888,201,1000,10000000,1e-07,0.3806247794399709,0.08695959595959733,est
51,ASTRAL-II,QR*,1,20,0,375.85,0.478696,201,1000,10000000,1e-07,0.27714646464646525,0.06779797979798077,est
52,ASTRAL-II,QR*,2,20,0,427.47,0.483004,201,1000,10000000,1e-07,0.19430808080808112,0.1090000000000017,est
53,ASTRAL-II,QR*,3,118,0,295.86,0.478976,201,1000,10000000,1e-07,0.460984904052782,0.09777272727272877,est
54,ASTRAL-II,QR*,4,62,0,287.13,0.483024,201,1000,10000000,1e-07,0.3463484848484861,0.09628787878788038,est
55,ASTRAL-II,QR*,5,38,0,268.21,0.480528,201,1000,10000000,1e-07,0.3329797979797989,0.1046010101010118,est
56,ASTRAL-II,QR*,6,50,0,259.38,0.479936,201,1000,10000000,1e-07,0.40578787878788,0.09244949494949645,est
57,ASTRAL-II,QR*,7,24,0,290.27,0.479076,201,1000,10000000,1e-07,0.1709354302518866,0.09362626262626417,est
58,ASTRAL-II,QR*,8,32,0,284.28,0.478356,201,1000,10000000,1e-07,0.39880750054869324,0.09461111111111264,est
59,ASTRAL-II,QR*,9,64,0,291.95,0.479456,201,1000,10000000,1e-07,0.3568484848484853,0.10292424242424404,est
60,ASTRAL-II,QR*,10,16,0,293.43,0.481516,201,1000,10000000,1e-07,0.30388118296211064,0.0849747474747488,est
61,ASTRAL-II,QR*,11,44,0,277.79,0.480184,201,1000,10000000,1e-07,0.399095959595961,0.096924242424244,est
62,ASTRAL-II,QR*,12,24,0,292.28,0.478848,201,1000,10000000,1e-07,0.37093958729451526,0.1074393939393956,est
63,ASTRAL-II,QR*,13,66,0,295.99,0.480388,201,1000,10000000,1e-07,0.22748364659250705,0.07897979797979918,est
64,ASTRAL-II,QR*,14,28,0,261.62,0.478964,201,1000,10000000,1e-07,0.2111666666666671,0.09621212121212278,est
65,ASTRAL-II,QR*,15,20,0,248.09,0.4818,201,1000,10000000,1e-07,0.43182408899118,0.09226767676767822,est
66,ASTRAL-II,QR*,16,24,0,292.65,0.483588,201,1000,10000000,1e-07,0.20773232323232335,0.06140909090909178,est
67,ASTRAL-II,QR*,17,10,0,278.93,0.478652,201,1000,10000000,1e-07,0.27814045894303446,0.08490404040404173,est
68,ASTRAL-II,QR*,18,24,0,404.64,0.47968,201,1000,10000000,1e-07,0.29132828282828327,0.0892676767676782,est
