,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
55,mammalian-sim,QR,15,0,1,29.44,0.084868,37,50,1X,true,0,0.32352941176470573,true
56,mammalian-sim,QR,16,12,0,28.07,0.086252,37,50,1X,true,0,0.327205882352941,true
57,mammalian-sim,QR,17,18,0,29.21,0.084144,37,50,1X,true,0,0.3274999999999998,true
58,mammalian-sim,QR,18,14,0,29.46,0.083352,37,50,1X,true,0,0.3285294117647055,true
59,mammalian-sim,QR,19,2,0,28.49,0.084152,37,50,1X,true,0,0.329705882352941,true
60,mammalian-sim,QR*,0,0,1,26.44,0.083668,37,50,1X,true,0,0.33352941176470574,true
61,mammalian-sim,QR*,1,0,1,25.18,0.083324,37,50,1X,true,0,0.32441176470588245,true
62,mammalian-sim,QR*,2,2,0,9.93,0.08424,37,50,1X,true,0,0.3360294117647058,true
63,mammalian-sim,QR*,3,10,0,9.33,0.082628,37,50,1X,true,0,0.335,true
64,mammalian-sim,QR*,4,0,1,9.99,0.083576,37,50,1X,true,0,0.32941176470588224,true
65,mammalian-sim,QR*,5,8,0,9.73,0.084452,37,50,1X,true,0,0.3223529411764705,true
66,mammalian-sim,QR*,6,8,0,9.67,0.083476,37,50,1X,true,0,0.3257352941176469,true
67,mammalian-sim,QR*,7,8,0,10.08,0.087972,37,50,1X,true,0,0.33220588235294085,true
68,mammalian-sim,QR*,8,2,0,9.71,0.09028,37,50,1X,true,0,0.33147058823529396,true
69,mammalian-sim,QR*,9,2,0,9.74,0.084312,37,50,1X,true,0,0.3366176470588234,true
70,mammalian-sim,QR*,10,10,0,9.83,0.084544,37,50,1X,true,0,0.3202941176470587,true
71,mammalian-sim,QR*,11,2,0,10.14,0.083476,37,50,1X,true,0,0.3358823529411762,true
72,mammalian-sim,QR*,12,2,0,10.0,0.08428,37,50,1X,true,0,0.3339705882352942,true
73,mammalian-sim,QR*,13,10,0,10.45,0.083564,37,50,1X,true,0,0.33470588235294096,true
74,mammalian-sim,QR*,14,10,0,26.11,0.087932,37,50,1X,true,0,0.3283823529411765,true
75,mammalian-sim,QR*,15,2,0,26.56,0.082896,37,50,1X,true,0,0.32352941176470573,true
76,mammalian-sim,QR*,16,10,0,26.54,0.083568,37,50,1X,true,0,0.327205882352941,true
77,mammalian-sim,QR*,17,4,0,27.68,0.08294,37,50,1X,true,0,0.3274999999999998,true
78,mammalian-sim,QR*,18,2,0,27.31,0.084532,37,50,1X,true,0,0.3285294117647055,true
79,mammalian-sim,QR*,19,2,0,26.41,0.08328,37,50,1X,true,0,0.329705882352941,true
80,mammalian-sim,QR,0,14,0,10.72,0.084996,37,200,2X,true,0,0.18235294117647066,true
81,mammalian-sim,QR,1,16,0,10.59,0.085304,37,200,2X,true,0,0.18352941176470608,true
82,mammalian-sim,QR,2,2,0,10.39,0.08562,37,200,2X,true,0,0.18205882352941175,true
83,mammalian-sim,QR,3,24,0,10.58,0.088008,37,200,2X,true,0,0.18205882352941175,true
84,mammalian-sim,QR,4,18,0,10.32,0.08618,37,200,2X,true,0,0.18617647058823533,true
85,mammalian-sim,QR,5,2,0,10.24,0.085396,37,200,2X,true,0,0.17897058823529413,true
86,mammalian-sim,QR,6,12,0,10.09,0.084332,37,200,2X,true,0,0.18838235294117656,true
87,mammalian-sim,QR,7,24,0,12.65,0.085856,37,200,2X,true,0,0.1832352941176471,true
88,mammalian-sim,QR,8,0,1,10.58,0.085004,37,200,2X,true,0,0.18132352941176483,true
89,mammalian-sim,QR,9,22,0,10.61,0.085656,37,200,2X,true,0,0.18779411764705878,true
90,mammalian-sim,QR,10,24,0,12.8,0.085372,37,200,2X,true,0,0.17941176470588244,true
91,mammalian-sim,QR,11,18,0,10.59,0.084752,37,200,2X,true,0,0.18382352941176477,true
92,mammalian-sim,QR,12,16,0,10.38,0.084476,37,200,2X,true,0,0.18044117647058827,true
93,mammalian-sim,QR,13,12,0,10.58,0.085408,37,200,2X,true,0,0.17617647058823535,true
94,mammalian-sim,QR,14,16,0,10.7,0.085688,37,200,2X,true,0,0.18000000000000005,true
95,mammalian-sim,QR,15,24,0,28.21,0.085236,37,200,2X,true,0,0.18117647058823533,true
96,mammalian-sim,QR,16,20,0,28.62,0.085096,37,200,2X,true,0,0.18455882352941178,true
97,mammalian-sim,QR,17,24,0,28.41,0.085712,37,200,2X,true,0,0.17897058823529421,true
98,mammalian-sim,QR,18,12,0,28.52,0.085148,37,200,2X,true,0,0.1779411764705883,true
99,mammalian-sim,QR,19,20,0,29.49,0.089124,37,200,2X,true,0,0.18911764705882358,true
100,mammalian-sim,QR*,0,14,0,26.24,0.085072,37,200,2X,true,0,0.18235294117647066,true
101,mammalian-sim,QR*,1,0,1,27.12,0.084536,37,200,2X,true,0,0.18352941176470608,true
102,mammalian-sim,QR*,2,16,0,28.32,0.084532,37,200,2X,true,0,0.18205882352941175,true
103,mammalian-sim,QR*,3,4,0,27.76,0.084868,37,200,2X,true,0,0.18205882352941175,true
104,mammalian-sim,QR*,4,10,0,9.75,0.08708,37,200,2X,true,0,0.18617647058823533,true
105,mammalian-sim,QR*,5,2,0,9.99,0.086976,37,200,2X,true,0,0.17897058823529413,true
106,mammalian-sim,QR*,6,4,0,10.16,0.083808,37,200,2X,true,0,0.18838235294117656,true
107,mammalian-sim,QR*,7,16,0,10.47,0.086932,37,200,2X,true,0,0.1832352941176471,true
108,mammalian-sim,QR*,8,8,0,10.05,0.086112,37,200,2X,true,0,0.18132352941176483,true
109,mammalian-sim,QR*,9,16,0,10.17,0.0891,37,200,2X,true,0,0.18779411764705878,true
110,mammalian-sim,QR*,10,4,0,10.72,0.0851,37,200,2X,true,0,0.17941176470588244,true
111,mammalian-sim,QR*,11,4,0,10.42,0.084892,37,200,2X,true,0,0.18382352941176477,true
112,mammalian-sim,QR*,12,14,0,10.39,0.08436,37,200,2X,true,0,0.18044117647058827,true
