,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
54,mammalian-sim,optimal,14,0,1,2.2,0.035832,37,200,1X,true,0,0.3283823529411765,true
55,mammalian-sim,optimal,15,2,0,2.23,0.038788,37,200,1X,true,0,0.32352941176470573,true
56,mammalian-sim,optimal,16,0,1,2.16,0.036032,37,200,1X,true,0,0.327205882352941,true
57,mammalian-sim,optimal,17,0,1,2.2,0.03492,37,200,1X,true,0,0.3274999999999998,true
58,mammalian-sim,optimal,18,0,1,2.24,0.04092,37,200,1X,true,0,0.3285294117647055,true
59,mammalian-sim,optimal,19,2,0,0.88,0.035368,37,200,1X,true,0,0.329705882352941,true
60,mammalian-sim,QR,0,24,0,10.82,0.084292,37,50,1X,true,0,0.33352941176470574,true
61,mammalian-sim,QR,1,20,0,11.28,0.08428,37,50,1X,true,0,0.32441176470588245,true
62,mammalian-sim,QR,2,4,0,10.64,0.091952,37,50,1X,true,0,0.3360294117647058,true
63,mammalian-sim,QR,3,2,0,10.63,0.083388,37,50,1X,true,0,0.335,true
64,mammalian-sim,QR,4,8,0,10.35,0.0844,37,50,1X,true,0,0.32941176470588224,true
65,mammalian-sim,QR,5,14,0,10.61,0.083788,37,50,1X,true,0,0.3223529411764705,true
66,mammalian-sim,QR,6,22,0,10.85,0.084148,37,50,1X,true,0,0.3257352941176469,true
67,mammalian-sim,QR,7,12,0,10.63,0.08622,37,50,1X,true,0,0.33220588235294085,true
68,mammalian-sim,QR,8,4,0,10.4,0.083636,37,50,1X,true,0,0.33147058823529396,true
69,mammalian-sim,QR,9,4,0,10.56,0.08282,37,50,1X,true,0,0.3366176470588234,true
70,mammalian-sim,QR,10,0,1,10.9,0.082876,37,50,1X,true,0,0.3202941176470587,true
71,mammalian-sim,QR,11,6,0,10.89,0.088216,37,50,1X,true,0,0.3358823529411762,true
72,mammalian-sim,QR,12,32,0,11.24,0.086012,37,50,1X,true,0,0.3339705882352942,true
73,mammalian-sim,QR,13,6,0,10.48,0.083472,37,50,1X,true,0,0.33470588235294096,true
74,mammalian-sim,QR,14,6,0,10.25,0.082788,37,50,1X,true,0,0.3283823529411765,true
75,mammalian-sim,QR,15,2,0,10.27,0.083676,37,50,1X,true,0,0.32352941176470573,true
76,mammalian-sim,QR,16,18,0,28.22,0.086156,37,50,1X,true,0,0.327205882352941,true
77,mammalian-sim,QR,17,16,0,29.63,0.086412,37,50,1X,true,0,0.3274999999999998,true
78,mammalian-sim,QR,18,2,0,29.59,0.083716,37,50,1X,true,0,0.3285294117647055,true
79,mammalian-sim,QR,19,8,0,28.56,0.083732,37,50,1X,true,0,0.329705882352941,true
80,mammalian-sim,QR*,0,10,0,10.87,0.085136,37,50,1X,true,0,0.33352941176470574,true
81,mammalian-sim,QR*,1,10,0,10.06,0.084384,37,50,1X,true,0,0.32441176470588245,true
82,mammalian-sim,QR*,2,4,0,10.08,0.082524,37,50,1X,true,0,0.3360294117647058,true
83,mammalian-sim,QR*,3,2,0,10.47,0.085208,37,50,1X,true,0,0.335,true
84,mammalian-sim,QR*,4,20,0,9.77,0.084408,37,50,1X,true,0,0.32941176470588224,true
85,mammalian-sim,QR*,5,4,0,9.72,0.08346,37,50,1X,true,0,0.3223529411764705,true
86,mammalian-sim,QR*,6,16,0,10.18,0.082884,37,50,1X,true,0,0.3257352941176469,true
