,dataset,method,qrcoef,abratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
497,ASTRAL-III,QR (LE),1.000000e-02,1.000000e+03,47,4,0,65.79,0.218712,101,1000,1600,,,est
498,ASTRAL-III,QR (LE),1.000000e-02,1.000000e+03,48,6,0,63.16,0.218904,101,1000,1600,,,est
499,ASTRAL-III,QR (LE),1.000000e-02,1.000000e+03,49,2,0,57.08,0.218744,101,1000,1600,,,est
500,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,0,8,0,51.88,0.223252,101,1000,800,,,est
501,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,1,0,1,48.24,0.2191,101,1000,800,,,est
502,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,2,0,1,53.48,0.219244,101,1000,800,,,est
503,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,3,0,1,53.18,0.218376,101,1000,800,,,est
504,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,4,0,1,52.25,0.219732,101,1000,800,,,est
505,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,5,0,1,53.84,0.2194,101,1000,800,,,est
506,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,6,0,1,55.2,0.221464,101,1000,800,,,est
507,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,7,0,1,52.92,0.219636,101,1000,800,,,est
508,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,8,0,1,56.13,0.219908,101,1000,800,,,est
509,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,9,0,1,55.17,0.218908,101,1000,800,,,est
510,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,10,0,1,51.35,0.221376,101,1000,800,,,est
511,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,11,0,1,69.72,0.221688,101,1000,800,,,est
512,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,12,4,0,74.66,0.222108,101,1000,800,,,est
513,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,13,0,1,72.42,0.218212,101,1000,800,,,est
514,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,14,0,1,65.9,0.21936,101,1000,800,,,est
515,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,15,0,1,80.49,0.219436,101,1000,800,,,est
516,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,16,6,0,56.76,0.220708,101,1000,800,,,est
517,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,17,0,1,44.61,0.221248,101,1000,800,,,est
518,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,18,0,1,54.33,0.2196,101,1000,800,,,est
519,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,19,0,1,54.88,0.218884,101,1000,800,,,est
520,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,20,8,0,61.01,0.21914,101,1000,800,,,est
521,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,21,4,0,55.35,0.219336,101,1000,800,,,est
522,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,22,2,0,47.54,0.22108,101,1000,800,,,est
523,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,23,0,1,69.88,0.21966,101,1000,800,,,est
524,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,24,0,1,60.58,0.22142,101,1000,800,,,est
525,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,25,0,1,69.86,0.219096,101,1000,800,,,est
526,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,26,2,0,74.03,0.21974,101,1000,800,,,est
527,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,27,0,1,74.24,0.218852,101,1000,800,,,est
528,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,28,0,1,77.58,0.219556,101,1000,800,,,est
529,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,29,0,1,55.91,0.219272,101,1000,800,,,est
530,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,30,0,1,56.08,0.219832,101,1000,800,,,est
531,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,31,4,0,59.39,0.220284,101,1000,800,,,est
532,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,32,2,0,47.08,0.219292,101,1000,800,,,est
533,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,33,0,1,57.23,0.219712,101,1000,800,,,est
534,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,34,4,0,48.65,0.22236,101,1000,800,,,est
535,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,35,0,1,167.11,0.22026,101,1000,800,,,est
536,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,36,0,1,55.83,0.218556,101,1000,800,,,est
537,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,37,4,0,64.92,0.222196,101,1000,800,,,est
538,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,38,0,1,47.51,0.22064,101,1000,800,,,est
539,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,39,0,1,51.87,0.220256,101,1000,800,,,est
540,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,40,0,1,48.81,0.218876,101,1000,800,,,est
541,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,41,0,1,52.17,0.219804,101,1000,800,,,est
542,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,42,0,1,55.36,0.219844,101,1000,800,,,est
543,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,43,0,1,50.08,0.223568,101,1000,800,,,est
544,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,44,0,1,54.54,0.22482,101,1000,800,,,est
545,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,45,2,0,53.81,0.221316,101,1000,800,,,est
546,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,46,0,1,48.04,0.221588,101,1000,800,,,est
547,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,47,4,0,61.23,0.218796,101,1000,800,,,est
548,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,48,6,0,58.34,0.218316,101,1000,800,,,est
549,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,49,0,1,188.11,0.22126,101,1000,800,,,est
550,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,0,2,0,57.95,0.224756,101,1000,800,,,est
551,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,1,0,1,55.62,0.225152,101,1000,800,,,est
552,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,2,0,1,56.52,0.220444,101,1000,800,,,est
553,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,3,0,1,51.88,0.219128,101,1000,800,,,est
554,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,4,0,1,51.43,0.220088,101,1000,800,,,est
555,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,5,0,1,55.7,0.219864,101,1000,800,,,est
556,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,6,0,1,50.85,0.22128,101,1000,800,,,est
557,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,7,0,1,53.74,0.224624,101,1000,800,,,est
558,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,8,0,1,57.32,0.220436,101,1000,800,,,est
559,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,9,0,1,53.94,0.218432,101,1000,800,,,est
560,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,10,0,1,48.72,0.221448,101,1000,800,,,est
561,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,11,0,1,68.31,0.217944,101,1000,800,,,est
562,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,12,4,0,72.74,0.22016,101,1000,800,,,est
563,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,13,0,1,72.06,0.220456,101,1000,800,,,est
564,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,14,0,1,68.55,0.22342,101,1000,800,,,est
565,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,15,0,1,83.94,0.22124,101,1000,800,,,est
566,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,16,6,0,83.01,0.22084,101,1000,800,,,est
567,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,17,0,1,47.25,0.219496,101,1000,800,,,est
568,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,18,0,1,48.62,0.22006,101,1000,800,,,est
569,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,19,0,1,54.88,0.220044,101,1000,800,,,est
570,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,20,8,0,60.42,0.220556,101,1000,800,,,est
571,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,21,4,0,57.52,0.218616,101,1000,800,,,est
572,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,22,2,0,47.19,0.219888,101,1000,800,,,est
573,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,23,0,1,72.22,0.218948,101,1000,800,,,est
574,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,24,0,1,60.15,0.21922,101,1000,800,,,est
575,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,25,0,1,71.73,0.22106,101,1000,800,,,est
576,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,26,2,0,72.22,0.219084,101,1000,800,,,est
577,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,27,6,0,75.11,0.221336,101,1000,800,,,est
578,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,28,0,1,76.62,0.219496,101,1000,800,,,est
579,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,29,6,0,51.08,0.222976,101,1000,800,,,est
580,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,30,0,1,56.09,0.219572,101,1000,800,,,est
581,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,31,4,0,57.56,0.221184,101,1000,800,,,est
582,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,32,2,0,51.55,0.221408,101,1000,800,,,est
583,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,33,0,1,57.1,0.218124,101,1000,800,,,est
584,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,34,4,0,49.22,0.218408,101,1000,800,,,est
585,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,35,0,1,168.85,0.218376,101,1000,800,,,est
586,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,36,0,1,56.43,0.221012,101,1000,800,,,est
587,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,37,4,0,57.34,0.219084,101,1000,800,,,est
588,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,38,0,1,43.35,0.219912,101,1000,800,,,est
589,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,39,0,1,45.41,0.219668,101,1000,800,,,est
590,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,40,0,1,55.11,0.223264,101,1000,800,,,est
591,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,41,0,1,50.52,0.220784,101,1000,800,,,est
592,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,42,18,0,62.83,0.220232,101,1000,800,,,est
593,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,43,0,1,51.03,0.21876,101,1000,800,,,est
594,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,44,0,1,60.72,0.21934,101,1000,800,,,est
595,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,45,2,0,53.73,0.219096,101,1000,800,,,est
596,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,46,0,1,43.14,0.221476,101,1000,800,,,est
597,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,47,4,0,60.33,0.218376,101,1000,800,,,est
598,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,48,6,0,54.22,0.220036,101,1000,800,,,est
599,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,49,0,1,188.03,0.218864,101,1000,800,,,est
600,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,0,4,0,54.4,0.218436,101,1000,800,,,est
601,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,1,0,1,57.17,0.219448,101,1000,800,,,est
602,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,2,0,1,53.98,0.21826,101,1000,800,,,est
603,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,3,0,1,53.0,0.219,101,1000,800,,,est
604,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,4,0,1,51.82,0.21862,101,1000,800,,,est
605,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,5,0,1,48.06,0.219516,101,1000,800,,,est
606,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,6,0,1,55.07,0.221416,101,1000,800,,,est
607,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,7,0,1,52.92,0.221044,101,1000,800,,,est
608,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,8,0,1,55.64,0.219984,101,1000,800,,,est
609,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,9,0,1,52.58,0.218356,101,1000,800,,,est
610,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,10,0,1,48.86,0.218496,101,1000,800,,,est
611,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,11,0,1,68.34,0.21998,101,1000,800,,,est
612,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,12,0,1,75.14,0.21886,101,1000,800,,,est
613,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,13,0,1,71.99,0.221128,101,1000,800,,,est
614,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,14,0,1,67.49,0.218952,101,1000,800,,,est
615,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,15,0,1,83.64,0.219064,101,1000,800,,,est
616,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,16,0,1,83.8,0.22316,101,1000,800,,,est
617,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,17,0,1,47.4,0.219836,101,1000,800,,,est
618,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,18,0,1,54.14,0.21918,101,1000,800,,,est
619,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,19,0,1,54.39,0.22054,101,1000,800,,,est
620,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,20,8,0,59.29,0.219124,101,1000,800,,,est
621,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,21,0,1,57.87,0.2185,101,1000,800,,,est
622,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,22,2,0,46.97,0.225012,101,1000,800,,,est
623,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,23,0,1,69.34,0.219412,101,1000,800,,,est
624,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,24,0,1,62.1,0.2204,101,1000,800,,,est
625,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,25,0,1,71.97,0.219396,101,1000,800,,,est
626,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,26,2,0,74.81,0.21852,101,1000,800,,,est
627,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,27,0,1,75.59,0.22102,101,1000,800,,,est
628,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,28,0,1,76.61,0.219712,101,1000,800,,,est
629,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,29,0,1,56.53,0.220016,101,1000,800,,,est
630,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,30,0,1,55.57,0.21878,101,1000,800,,,est
631,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,31,2,0,59.59,0.218968,101,1000,800,,,est
632,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,32,2,0,52.38,0.220028,101,1000,800,,,est
633,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,33,0,1,49.9,0.219896,101,1000,800,,,est
634,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,34,4,0,48.64,0.21852,101,1000,800,,,est
635,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,35,0,1,167.38,0.219544,101,1000,800,,,est
636,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,36,0,1,56.4,0.2218,101,1000,800,,,est
637,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,37,4,0,64.42,0.22172,101,1000,800,,,est
638,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,38,0,1,46.65,0.220656,101,1000,800,,,est
639,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,39,0,1,51.24,0.21892,101,1000,800,,,est
640,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,40,0,1,56.57,0.21994,101,1000,800,,,est
641,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,41,0,1,44.52,0.21912,101,1000,800,,,est
642,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,42,0,1,54.83,0.219,101,1000,800,,,est
643,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,43,0,1,49.95,0.22018,101,1000,800,,,est
644,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,44,0,1,60.12,0.218624,101,1000,800,,,est
645,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,45,2,0,53.28,0.219004,101,1000,800,,,est
646,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,46,0,1,45.19,0.218452,101,1000,800,,,est
647,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,47,2,0,59.17,0.220152,101,1000,800,,,est
648,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,48,6,0,58.27,0.21836,101,1000,800,,,est
649,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,49,0,1,185.99,0.218812,101,1000,800,,,est
650,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,0,2,0,58.75,0.221228,101,1000,800,,,est
651,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,1,0,1,54.61,0.220048,101,1000,800,,,est
652,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,2,0,1,54.02,0.222836,101,1000,800,,,est
653,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,3,0,1,47.45,0.220816,101,1000,800,,,est
654,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,4,0,1,46.62,0.221328,101,1000,800,,,est
655,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,5,0,1,56.39,0.218516,101,1000,800,,,est
656,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,6,0,1,54.28,0.219152,101,1000,800,,,est
657,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,7,0,1,51.91,0.218288,101,1000,800,,,est
658,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,8,0,1,57.35,0.218696,101,1000,800,,,est
659,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,9,0,1,55.65,0.22194,101,1000,800,,,est
660,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,10,0,1,50.25,0.219972,101,1000,800,,,est
661,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,11,0,1,70.36,0.218624,101,1000,800,,,est
662,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,12,4,0,74.68,0.223952,101,1000,800,,,est
663,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,13,0,1,72.84,0.21988,101,1000,800,,,est
664,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,14,0,1,67.47,0.219316,101,1000,800,,,est
665,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,15,0,1,80.41,0.221216,101,1000,800,,,est
666,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,16,6,0,58.37,0.21916,101,1000,800,,,est
667,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,17,0,1,46.52,0.219756,101,1000,800,,,est
668,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,18,0,1,53.83,0.219856,101,1000,800,,,est
669,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,19,0,1,54.51,0.223364,101,1000,800,,,est
670,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,20,4,0,60.34,0.218468,101,1000,800,,,est
671,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,21,4,0,57.94,0.224988,101,1000,800,,,est
672,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,22,2,0,45.45,0.221804,101,1000,800,,,est
673,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,23,0,1,72.42,0.221276,101,1000,800,,,est
674,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,24,0,1,62.04,0.219972,101,1000,800,,,est
675,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,25,0,1,68.96000000000001,0.218992,101,1000,800,,,est
676,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,26,2,0,72.94,0.219428,101,1000,800,,,est
677,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,27,6,0,75.96000000000001,0.218112,101,1000,800,,,est
678,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,28,0,1,52.32,0.220872,101,1000,800,,,est
679,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,29,0,1,56.21,0.220456,101,1000,800,,,est
680,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,30,6,0,50.55,0.219308,101,1000,800,,,est
681,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,31,4,0,57.81,0.221472,101,1000,800,,,est
682,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,32,2,0,52.6,0.21982,101,1000,800,,,est
683,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,33,0,1,50.91,0.21878,101,1000,800,,,est
684,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,34,4,0,47.69,0.225324,101,1000,800,,,est
685,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,35,0,1,160.36,0.218996,101,1000,800,,,est
686,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,36,0,1,54.4,0.219948,101,1000,800,,,est
687,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,37,10,0,56.64,0.2184,101,1000,800,,,est
688,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,38,0,1,47.06,0.219756,101,1000,800,,,est
689,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,39,0,1,50.16,0.218776,101,1000,800,,,est
690,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,40,0,1,54.37,0.219084,101,1000,800,,,est
691,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,41,0,1,50.93,0.21978,101,1000,800,,,est
692,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,42,8,0,61.47,0.218852,101,1000,800,,,est
693,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,43,0,1,49.51,0.21952,101,1000,800,,,est
694,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,44,4,0,61.04,0.21912,101,1000,800,,,est
695,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,45,2,0,48.51,0.219372,101,1000,800,,,est
696,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,46,0,1,49.15,0.220952,101,1000,800,,,est
697,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,47,4,0,52.83,0.218652,101,1000,800,,,est
698,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,48,6,0,59.76,0.221068,101,1000,800,,,est
699,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,49,0,1,190.83,0.22016,101,1000,800,,,est
700,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,0,4,0,59.44,0.219972,101,1000,800,,,est
701,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,1,0,1,55.8,0.219092,101,1000,800,,,est
702,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,2,0,1,54.95,0.219612,101,1000,800,,,est
703,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,3,0,1,52.34,0.219588,101,1000,800,,,est
704,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,4,0,1,52.27,0.219404,101,1000,800,,,est
705,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,5,0,1,53.56,0.218648,101,1000,800,,,est
706,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,6,0,1,55.12,0.220068,101,1000,800,,,est
707,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,7,0,1,53.88,0.220428,101,1000,800,,,est
708,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,8,0,1,58.41,0.21854,101,1000,800,,,est
709,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,9,0,1,53.49,0.220216,101,1000,800,,,est
710,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,10,0,1,49.44,0.218768,101,1000,800,,,est
711,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,11,0,1,68.37,0.219784,101,1000,800,,,est
712,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,12,0,1,73.26,0.220792,101,1000,800,,,est
713,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,13,0,1,72.68,0.218756,101,1000,800,,,est
714,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,14,0,1,69.31,0.219916,101,1000,800,,,est
715,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,15,4,0,81.33,0.220724,101,1000,800,,,est
716,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,16,0,1,84.01,0.219776,101,1000,800,,,est
717,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,17,0,1,41.48,0.219456,101,1000,800,,,est
718,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,18,0,1,54.71,0.218284,101,1000,800,,,est
719,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,19,0,1,56.85,0.220972,101,1000,800,,,est
720,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,20,8,0,52.67,0.221316,101,1000,800,,,est
721,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,21,4,0,56.24,0.224404,101,1000,800,,,est
722,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,22,2,0,47.52,0.21932,101,1000,800,,,est
723,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,23,0,1,70.72,0.21968,101,1000,800,,,est
724,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,24,0,1,62.01,0.22104,101,1000,800,,,est
725,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,25,0,1,70.94,0.221632,101,1000,800,,,est
726,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,26,2,0,74.28,0.218744,101,1000,800,,,est
727,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,27,0,1,75.3,0.221628,101,1000,800,,,est
728,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,28,0,1,50.67,0.219008,101,1000,800,,,est
729,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,29,6,0,56.65,0.221568,101,1000,800,,,est
730,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,30,0,1,57.91,0.2193,101,1000,800,,,est
731,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,31,4,0,58.05,0.219308,101,1000,800,,,est
732,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,32,2,0,51.42,0.22128,101,1000,800,,,est
